N  | Processing
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.001 s DONE
D  | · · ? Self ................................................ ...     0.001 s
D  | · · ↔ composer.json ....................................... ...              USE
N  | ↔ packages/graphql/docs/Scalars/JsonString.md ............. R..     0.003 s DONE
D  | · ? Self .................................................. ...     0.000 s
V  | · ? Reads .................................... 1 / 0.74 KiB ...     0.002 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.003 s DONE
D  | · · ? Self ................................................ ...     0.001 s
VV | · · ? Reads .................................. 1 / 0.74 KiB ...     0.002 s
VV | · · ↔ packages/graphql/docs/Scalars/JsonString.md  0.74 KiB R..     0.002 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.000 s DONE
D  | · · ? Self ................................................ ...     0.000 s
D  | · · ↔ composer.json ....................................... ...              USE
N  | ↔ docs/Shared/Contributing.md ............................. R..     0.004 s DONE
D  | · ? Self .................................................. ...     0.000 s
V  | · ? Reads .................................... 1 / 0.36 KiB ...     0.003 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.004 s DONE
D  | · · ? Self ................................................ ...     0.001 s
VV | · · ? Reads .................................. 1 / 0.36 KiB ...     0.003 s
VV | · · ↔ docs/Shared/Contributing.md ................ 0.36 KiB R..     0.003 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.000 s DONE
D  | · · ? Self ................................................ ...     0.000 s
D  | · · ↔ composer.json ....................................... ...              USE
N  | ↔ packages/graphql/README.md .............................. R..     1.204 s DONE
D  | · ? Self .................................................. ...     0.000 s
V  | · ? Reads ................................... 4 / 18.73 KiB ...     0.007 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     1.026 s DONE
D  | · · ? Self ................................................ ...     1.021 s
VV | · · ? Reads ................................. 3 / 17.67 KiB ...     0.005 s
VV | · · ↔ packages/graphql/README.md ................ 16.13 KiB R..     0.002 s DONE
D  | · · ↔ docs/Shared/Installation.md ......................... ...              USE
D  | · · ↔ packages/graphql/docs/Directives/@searchBy.md ....... ...              USE
D  | · · ↔ packages/graphql/docs/Directives/@sortBy.md ......... ...              USE
D  | · · ↔ packages/graphql/docs/Directives/@stream.md ......... ...              USE
D  | · · ↔ packages/graphql/docs/Directives/@type.md ........... ...              USE
D  | · · ↔ packages/graphql/docs/Scalars/JsonString.md ......... ...              USE
D  | · · ↔ packages/graphql/docs/Examples/BuilderInfoProvider.ph
D  | · · · p ................................................... ...              USE
VV | · · ↔ packages/graphql/docs/Examples/BuilderInfoProvider.ph
VV | · · · p .......................................... 0.74 KiB R..     0.002 s DONE
D  | · · ↔ packages/graphql/docs/Examples/Printer.php .......... ...              USE
VV | · · ↔ packages/graphql/docs/Examples/Printer.php . 0.80 KiB R..     0.002 s DONE
D  | · · ↔ docs/Shared/Contributing.md ......................... ...              USE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ R..     0.178 s DONE
D  | · · ? Self ................................................ ...     0.177 s
VV | · · ? Reads .................................. 1 / 1.06 KiB ...     0.002 s
D  | · · ↔ composer.json ....................................... ...              USE
D  | · · ↔ packages/graphql/src/Builder/Config.php ............. ...              USE
VV | · · ↔ packages/graphql/src/Builder/Config.php .... 1.06 KiB R..     0.002 s DONE
N  | ↔ docs/Legend.md .......................................... R..     0.006 s DONE
D  | · ? Self .................................................. ...     0.000 s
V  | · ? Reads .................................... 1 / 1.10 KiB ...     0.002 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.005 s DONE
D  | · · ? Self ................................................ ...     0.004 s
VV | · · ? Reads .................................. 1 / 1.10 KiB ...     0.002 s
VV | · · ↔ docs/Legend.md ............................. 1.10 KiB R..     0.002 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.000 s DONE
D  | · · ? Self ................................................ ...     0.000 s
D  | · · ↔ composer.json ....................................... ...              USE
N  | ↔ README.md ............................................... RW.     1.937 s DONE
D  | · ? Self .................................................. ...     0.186 s
V  | · ? Reads .................................... 1 / 9.23 KiB ...     0.016 s
V  | · ? Writes ................................... 1 / 4.79 KiB ...     0.036 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     1.699 s DONE
D  | · · ? Self ................................................ ...     1.684 s
VV | · · ? Reads .................................. 1 / 9.23 KiB ...     0.016 s
VV | · · ↔ README.md .................................. 9.23 KiB R..     0.016 s DONE
D  | · · ↔ packages/graphql/README.md .......................... ...              USE
D  | · · ↔ docs/Legend.md ...................................... ...              USE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.015 s DONE
D  | · · ? Self ................................................ ...     0.015 s
D  | · · ↔ composer.json ....................................... ...              USE
VV | · ↔ README.md .................................... 4.79 KiB .W.     0.036 s DONE
D  | ? Self .................................................... ...     0.087 s
V  | ? Reads .................................... 21 / 73.88 KiB ...     0.049 s
V  | ? Writes ..................................... 1 / 4.79 KiB ...     0.036 s
N  | ? Files ................................................ 10 ...
V  | ? Memory ......................................... 8.00 MiB ...
N  | ✓ Completed ............................................... ...     4.756 s DONE
